stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
2:8:JDFS-40,,"Ústí n.L.,Mírové nám.",,,,101,,0,,Europe/Prague,0,
2:8:JDFS-4,,"Malečov,Čeřeniště",,,,162,,0,,Europe/Prague,0,
2:8:JDFS-39,,"Velké Chvojno,Žďár,rozc.0.5",,,,136,,0,,Europe/Prague,0,
2:8:JDFS-38,,"Velké Chvojno,Žďár",,,,136,,0,,Europe/Prague,0,
2:8:JDFS-37,,"Velké Chvojno,škola",,,,136,,0,,Europe/Prague,0,
2:8:JDFS-36,,Velké Chvojno,,50.7324,14.036814,136,,0,,Europe/Prague,0,
2:8:JDFS-35,,"Ústí n.L.,Kamenný Vrch škola",,,,101,,0,,Europe/Prague,0,
2:8:JDFS-34,,"Ústí n.L.,Kamenný Vrch",,,,101,,0,,Europe/Prague,0,
2:8:JDFS-33,,"Ústí n.L.,Kočkov",,,,101,,0,,Europe/Prague,0,
2:8:JDFS-32,,"Ústí n.L.,hl.nádr.",,,,101,,0,,Europe/Prague,0,
2:8:JDFS-31,,"Ústí n.L.,Hraničář",,,,101,,0,,Europe/Prague,0,
2:8:JDFS-30,,"Ústí n.L.,Elba",,,,101,,0,,Europe/Prague,0,
2:8:JDFS-3,,"Malečov,Březí,rozc.0.3",,,,161,,0,,Europe/Prague,0,
2:8:JDFS-29,,"Ústí n.L.,Na kopečku",,,,101,,0,,Europe/Prague,0,
2:8:JDFS-28,,"Ústí n.L.,Hilarova",,,,101,,0,,Europe/Prague,0,
2:8:JDFS-27,,"Ústí n.L.,Bělehradská",,,,101,,0,,Europe/Prague,0,
2:8:JDFS-26,,"Tašov,ovčárna",,,,"162,162",,0,,Europe/Prague,0,
2:8:JDFS-25,,Tašov,,,,162,,0,,Europe/Prague,0,
2:8:JDFS-24,,"Chuderov,Sovolusky,rozc.0.5",,50.694163,14.068725,101,,0,,Europe/Prague,0,
2:8:JDFS-23,,"Malečov,Rýdeč,odb.Lhota pod Pannou",,,,162,,0,,Europe/Prague,0,
2:8:JDFS-22,,"Malečov,Rýdeč",,,,162,,0,,Europe/Prague,0,
2:8:JDFS-21,,"Chuderov,Radešín",,,,101,,0,,Europe/Prague,0,
2:8:JDFS-20,,"Malečov,Proboštov,odb.Lhota pod Pannou",,,,162,,0,,Europe/Prague,0,
2:8:JDFS-2,,"Chuderov,Lipová,rozc.Blansko 1.5",,50.711329,14.084211,133,,0,,Europe/Prague,0,
2:8:JDFS-19,,"Malečov,Proboštov,host.",,,,162,,0,,Europe/Prague,0,
2:8:JDFS-18,,"Malečov,Pohoří,rozc.0.5",,,,161,,0,,Europe/Prague,0,
2:8:JDFS-17,,"Velké Chvojno,Mnichov",,50.72246,14.077004,136,,0,,Europe/Prague,0,
2:8:JDFS-16,,"Malečov,odb.",,,,101,,0,,Europe/Prague,0,
2:8:JDFS-15,,Malečov,,,,161,,0,,Europe/Prague,0,
2:8:JDFS-14,,"Velké Chvojno,Malé Chvojno,rozc.",,,,131,,0,,Europe/Prague,0,
2:8:JDFS-13,,"Velké Chvojno,Malé Chvojno",,,,136,,0,,Europe/Prague,0,
2:8:JDFS-12,,"Velké Chvojno,Luční Chvojno",,,,136,,0,,Europe/Prague,0,
2:8:JDFS-11,,"Chuderov,Lipová",,50.716646,14.087862,133,,0,,Europe/Prague,0,
2:8:JDFS-10,,"Chuderov,Libov",,50.705656,14.072221,133,,0,,Europe/Prague,0,
2:8:JDFS-1,,"Velké Chvojno,Arnultovice",,50.714401,14.046202,136,,0,,Europe/Prague,0,
2:9:JDFS-9,,"Dubí,Bystřice,škola",,,,421,,0,,Europe/Prague,0,
2:9:JDFS-8,,"Dubí,Bystřice,gymnázium",,,,421,,0,,Europe/Prague,0,
2:9:JDFS-7,,"Dubí,Bystřice,Dlouhá",,,,421,,0,,Europe/Prague,0,
2:9:JDFS-6,,"Dubí,Bystřice,B.Němcové",,,,421,,0,,Europe/Prague,0,
2:9:JDFS-5,,"Teplice,Novosedlická",,50.647588,13.821001,401,,0,,Europe/Prague,0,
2:9:JDFS-4,,"Teplice,Mánesovo nám.",,,,401,,0,,Europe/Prague,0,
2:9:JDFS-3,,"Novosedlice,pošta",,,,421,,0,,Europe/Prague,0,
2:9:JDFS-25,,"Dubí,Pozorka,závod",,,,421,,0,,Europe/Prague,0,
2:9:JDFS-24,,"Dubí,Pozorka,Novosedlická",,,,421,,0,,Europe/Prague,0,
2:9:JDFS-23,,"Dubí,Pozorka",,,,421,,0,,Europe/Prague,0,
2:9:JDFS-22,,"Dubí,Bystřice,Tovární II",,,,421,,0,,Europe/Prague,0,
2:9:JDFS-21,,"Dubí,Bystřice,Tovární I",,,,421,,0,,Europe/Prague,0,
2:9:JDFS-2,,"Dubí,MěÚ",,,,421,,0,,Europe/Prague,0,
2:9:JDFS-17,,"Novosedlice,Míru",,,,421,,0,,Europe/Prague,0,
2:9:JDFS-16,,"Novosedlice,hřbitov",,,,421,,0,,Europe/Prague,0,
2:9:JDFS-15,,"Dubí,škola",,,,421,,0,,Europe/Prague,0,
2:9:JDFS-14,,"Dubí,Pozorka,sklárna",,,,421,,0,,Europe/Prague,0,
2:9:JDFS-13,,"Dubí,Pozorka,nám.",,,,421,,0,,Europe/Prague,0,
2:9:JDFS-12,,"Dubí,porcelánka",,,,421,,0,,Europe/Prague,0,
2:9:JDFS-11,,"Dubí,lázně",,,,421,,0,,Europe/Prague,0,
2:9:JDFS-10,,"Dubí,Krušnohorská",,,,421,,0,,Europe/Prague,0,
2:9:JDFS-1,,"Dubí,kostel",,,,421,,0,,Europe/Prague,0,
2:10:JDFS-9,,"Dolní Podluží,křiž.",,,,366,,0,,Europe/Prague,0,
2:10:JDFS-8,,"Dolní Podluží,kino",,,,366,,0,,Europe/Prague,0,
2:10:JDFS-7,,"Dolní Podluží,drůbežárna",,,,366,,0,,Europe/Prague,0,
2:10:JDFS-34,,"Rybniště,Nová Chřibská",,,,363,,0,,Europe/Prague,0,
2:10:JDFS-33,,"Česká Kamenice,Líska,Křížový buk",,,,351,,0,,Europe/Prague,0,
2:10:JDFS-32,,"Česká Kamenice,Líska,hor.",,,,351,,0,,Europe/Prague,0,
2:10:JDFS-31,,"Česká Kamenice,Líska",,,,351,,0,,Europe/Prague,0,
2:10:JDFS-30,,"Česká Kamenice,Kamenická Nová Víska",,,,351,,0,,Europe/Prague,0,
